['salt', 791]
['røget laks i strimler', 5]
['østerssauce', 5]
['hoisin sauce', 5]
['tyk sojasauce', 5]
['citronskal', 5]
['kinesisk soja', 5]
['vetsin', 5]
['blegselleri', 5]
['persillestilke', 5]
['koncentreret tomatpuré', 5]
['garam masala', 5]
['lammekølle u nøgleben', 5]
['citroner', 5]
['cherrytomater', 5]
['kværnet peber', 5]
['laks koldrøget', 5]
['fløde 13%', 5]
['hakket svinekød', 5]
['kommen', 5]
['nellike', 5]
['mynte', 5]
['soja sauce', 5]
['frisk spinat', 5]
['revet ost, mozzarella 45+', 5]
['squash', 5]
['marinade', 5]
['kanelstænger', 5]
['frisk koriander', 5]
['ærter', 5]
['stødt koriander', 5]
['bulgur', 5]
['peber efter smag', 5]
['kærnemælk', 5]
['hakkede løg', 5]
['bacon', 5]
['løg, hakket', 5]
['smør til stegning', 5]
['knuste hvidløg', 5]
['tørrede abrikoser', 5]
['friskhakket persille', 5]
['lidt smør', 5]
['akaciehonning', 5]
['persillerod', 5]
['oksebouillon', 5]
['smeltet smør', 5]
['lammebryst', 5]
['champignons', 5]
['løg, finthakket', 5]
['salathoved', 5]
['tarteletter', 4]
['kakao', 4]
['fint hakket løg', 4]
['auberginer', 4]
['lidt olie', 4]
['fetaost', 4]
['lammekød i tern', 4]
['ghee eller olie', 4]
['klippet purløg', 4]
['æggehvide, let pisket', 4]
['tynd soyasauce', 4]
['sesamfrø', 4]
['jordnøddeolie', 4]
['sød chilisauce', 4]
['ingefær, frisk', 4]
['nudler', 4]
['banan', 4]
['sherry. tør', 4]
['lidt sukker', 4]
['frisk ingefær', 4]
['bambusskud', 4]
['fiskesauce', 4]
['rismel', 4]
['ingefær', 4]
['stilkene fra 1 bdt. persille', 4]
['peberfrugter', 4]
['fennikel', 4]
['fuldkornshvedemel', 4]
['solsikkeolie', 4]
['kogt skinke', 4]
['hvidkålshoved', 4]
['syrlige æbler', 4]
['oksekød, hakket ca. 16% fedt', 4]
['paprika, edelsuss', 4]
['vinaigre', 4]
['suppevisk', 4]
['kalvebryst', 4]
['kalveinderlår', 4]
['mørk chokolade', 4]
['husblas', 4]
['muskat', 4]
['jordskokker', 4]
['spinat', 4]
['olie til pensling', 4]
['hakkede tomater, konserves', 4]
['bladselleri', 4]
['lidt frisk rosmarin', 4]
['hakket mynte', 4]
['lidt olivenolie', 4]
['hakket frisk mynte', 4]
['sorte oliven', 4]
['friske timianblade', 4]
['peberrod', 4]
['stegesky', 4]
['frisk rosmarin', 4]
['koldt smør', 4]
['revet ingefær', 4]
['spæk', 4]
['vildtbouillon', 4]
['salvie', 4]
['franskbrød', 4]
['valnødder', 4]
['pastinak', 4]
['creme fraiche 38%', 4]
['vanillestang', 4]
['hakket skalotteløg', 4]
['muskat, friskrevet', 4]
['kanel, stødt', 4]
['grønkål', 4]
['timian, frisk', 4]
['basilikum, frisk', 4]
['hvidløg, knust', 4]
['chalotteløg', 4]
['små løg', 4]
['lammekød', 4]
['hakket purløg', 4]
['ekstra jomfruolivenolie', 4]
['hasselnødder', 4]
['røget lammekølle', 4]
['flødeskum', 3]
['muslinger i vand', 3]
['ren, rå marcipan', 3]
['dobbelt lammeryg', 3]
['røgede sild', 3]
['korianderfrø', 3]
['frisk basilikum', 3]
['blødt smør', 3]
['bacon i tern', 3]
['lammemørbrad', 3]
['brombær', 3]
['dobbelte lammekoteletter', 3]
['løg i tern', 3]
['lammenyrer', 3]
['majroer', 3]
['skummetmælk', 3]
['persille, hakket', 3]
['udbenet lammebov', 3]
['nye løg', 3]
['fishsauce', 3]
['røget hellefisk i skiver', 3]
['frisk revet parmesanost', 3]
['finthakket skalotteløg', 3]
['sorte oliven uden sten', 3]
['frisk hakket koriander', 3]
['røget laks i tern', 3]
['røget laks', 3]
['røget hellefisk', 3]
['cremefraiche 18%', 3]
['friskpresset appelsinsaft', 3]
['grønne asparges', 3]
['klar suppe eller vand', 3]
['frisk ingefærrod, skrællet og hakket fint', 3]
['tynd sojasauce', 3]
['sort peber, 8 omgange på kværnen', 3]
['valnøddekerner', 3]
['natron', 3]
['koncentreret tomatpure', 3]
['lys bouillon', 3]
['karry, stærk', 3]
['usaltet smør', 3]
['noilly prat', 3]
['persillerod eller pastinak', 3]
['kryddernelliker', 3]
['grofthakkede løg', 3]
['hele peberkorn', 3]
['risvin', 3]
['løg i skiver', 3]
['sukker eller honning', 3]
['hvidløgsfed', 3]
['lammebov uden ben', 3]
['modne tomater', 3]
['cashewnødder', 3]
['spidskommen, stødt', 3]
['hårdkogt æg', 3]
['rucolasalat', 3]
['lidt timian', 3]
['lammebouillon', 3]
['kylling', 3]
['hakket dild', 3]
['revet løg', 3]
['mørk chokolade 44%', 3]
['hvidløg, knuste', 3]
['havregryn', 3]
['karse', 3]
['allehånde', 3]
['hakkede skalotteløg', 3]
['bouillonterning', 3]
['svinelever', 3]
['svinekoteletter', 3]
['svinebouillon', 3]
['melede kartofler', 3]
['revet parmesanost', 3]
['oksekød, hakket ca. 10% fedt', 3]
['lammebov med ben', 3]
['citron skal heraf', 3]
['lever', 3]
['kalvekød', 3]
['spaghetti', 3]
['kalvefilet', 3]
['grøn peber', 3]
['skært oksekød', 3]
['glasnudler', 3]
['citron, saften heraf', 3]
['chilisauce', 3]
['chillisauce', 3]
['hasselnøddeflager', 3]
['hytteost', 3]
['svampe', 3]
['rosmarin, tørret', 3]
['hvidvin. tør', 3]
['persillestilk', 3]
['udbenet lammekølle', 3]
['safrantråde', 3]
['basilikum, tørret', 3]
['citron saft herfra', 3]
['finthakket persille', 3]
['stødt sort peber', 3]
['lammeskanke', 3]
['cremefraiche', 3]
['grønne bønner', 3]
['lidt frisk timian', 3]
['kardemomme', 3]
['krondyrmørbrad', 3]
['fransk sennep', 3]
['pærer', 3]
['røget flæsk', 3]
['fine ærter', 3]
['løg, skåret i både', 3]
['creme fraiche 38 %', 3]
['lammefond', 3]
['æggeblomme, pasteuriseret', 3]
['finthakkede hvidløg', 3]
['god olivenolie', 3]
['rygeost', 3]
['tynde skiver røget lammekølle', 3]
['meljævning', 3]
['suppe', 3]
['svesker', 3]
['finthakket rød chili', 2]
['finthakket citrongræs', 2]
['palmesukker', 2]
['rød karrypasta', 2]
['kyllingefilet', 2]
['lagereddike', 2]
['gulerod i tern', 2]
['tarteletter luxus', 2]
['skært oksekød i tern', 2]
['hvidt peber', 2]
['udstenede svesker', 2]
['tomatjuice', 2]
['mørk chokolade til overtræk', 2]
['friskrevet peberrod', 2]
['jævning', 2]
['champignonshoveder', 2]
['rugbrød', 2]
['slik til pynt', 2]
['hindbær. dybfrost', 2]
['frosne ærter', 2]
['orange peberfrugt', 2]
['kalvefond', 2]
['kirsebær', 2]
['hakkede chalotteløg', 2]
['hakket basilikum', 2]
['frisk merian', 2]
['agerhøns', 2]
['sauce', 2]
['fint snittede skalotteløg', 2]
['lammeryg, dobbelt', 2]
['mynteblade', 2]
['friske hvide asparges', 2]
['evt. lidt knust hvidløg', 2]
['mørk rom', 2]
['pebermølle', 2]
['olie til bruning', 2]
['god rødvin', 2]
['citron skallen heraf', 2]
['hvidløg i tynde skiver', 2]
['fløde 13 %', 2]
['lammeribben', 2]
['udbenet lammebryst', 2]
['groft sort peber', 2]
['lidt tabasco', 2]
['majs', 2]
['friske figner', 2]
['røde chilier', 2]
['abrikossyltetøj', 2]
['masala', 2]
['grønne peberfrugter', 2]
['flødeost', 2]
['frisk basilikum eller 2 tsk. tørret', 2]
['grønne linser fra puy', 2]
['smørklatter', 2]
['lammebov i store tern', 2]
['pasta', 2]
['frisk oregano', 2]
['kvark', 2]
['råsukker', 2]
['sommeræbler, efter størrelse', 2]
['estragon', 2]
['cointreau', 2]
['flødeost naturel', 2]
['lyse rosiner', 2]
['lys farin', 2]
['fetina', 2]
['kikærter', 2]
['vand eller bouillon', 2]
['fintklippet mynte', 2]
['grønne pebre', 2]
['bouillon eller vand', 2]
['skivede kartofler', 2]
['nye gulerødder', 2]
['tør vermouth', 2]
['karl johan svampe', 2]
['ansjosfiletter', 2]
['grønne oliven', 2]
['grundsuppe', 2]
['lammeculotter', 2]
['fedtstof', 2]
['chili peber', 2]
['chili, stødt', 2]
['friske karryblade', 2]
['frisk ingefærrod, rives fint', 2]
['hvidløg, rives fint', 2]
['middelstore løg, finthakkede', 2]
['stødt korianderfrø', 2]
['lime eller citronsaft', 2]
['saften af citrusfrugterne', 2]
['evt. vand til det dækker', 2]
['skrabede kartofler', 2]
['revede løg', 2]
['oliven olie', 2]
['smuttede hele mandler', 2]
['frisk kværnet sort peber', 2]
['tørrede abrikoser, udblødte', 2]
['jomfruolivenolie', 2]
['stødte nelliker', 2]
['kyllingefond', 2]
['andefond', 2]
['citron saften heraf', 2]
['abrikoser', 2]
['friske chili, flækket', 2]
['hakkede korianderblade', 2]
['bukkehornsfrø', 2]
['frisk, reven ingefær', 2]
['rød peberfrugt i små tern', 2]
['grøn peberfrugt i små tern', 2]
['peber og salt efter smag', 2]
['saften af en limefrugt eller citron', 2]
['vegatabilsk olie', 2]
['røget hellefisk i strimler', 2]
['lys vineddike', 2]
['fintklippet purløg', 2]
['hakket porre', 2]
['løg i tynde skiver', 2]
['tynde skiver røget laks', 2]
['lynghonning', 2]
['finthakkede mandler', 2]
['blomkålshoved delt i buketter', 2]
['små nye kartofler', 2]
['rød chilipeber', 2]
['røget laks i store tern', 2]
['klippet dild', 2]
['røget laks skåret i tern', 2]
['saften fra 1 citron', 2]
['sambal oelek', 2]
['hvidløg presset', 2]
['hoisinsauce', 2]
['shaoxing vin eller mellemtør sherry', 2]
['sizhuanpeberkorn', 2]
['kanelstang', 2]
['hele stjerneanis', 2]
['sort peber, 6 omgange på kværnen', 2]
['kyllingebryst', 2]
['karry pulver', 2]
['citron saft', 2]
['fint hakket ingefær', 2]
['forårsløg, diagonalt skåret', 2]
['oksekød i strimler', 2]
['sandwichbrød', 2]
['svinefilet', 2]
['svinekødsbouillon', 2]
['finthakket ingefær', 2]
['vandkastanjer', 2]
['kinarejer', 2]
['sukker, gerne rørsukker', 2]
['svinekød, hakket ca. 10 % fedt', 2]
['friske koriander', 2]
['kokosmel', 2]
['hakket kalv og flæsk', 2]
['frisk ingefær, revet', 2]
['risvin eller tør sherry', 2]
['mild karry', 2]
['friske bønnespirer', 2]
['oksekød', 2]
['tomatketchup', 2]
['hønsebouillon eller vand', 2]
['kinesiske ægnudler', 2]
['gurkemeje, stødt', 2]
['karry, madras', 2]
['svineribben', 2]
['tørrede kinesiske svampe', 2]
['tørret mandarinskal', 2]
['korianderblade', 2]
['grønne peberkorn', 2]
['råt rejekød', 2]
['persillekviste', 2]
['kalve kraftben', 2]
['lamme kraftben', 2]
['hønsebryst', 2]
['faste tomater', 2]
['hjemmelavet yoghurt', 2]
['lime saft heraf', 2]
['limefrugter', 2]
['kyllingebryst uden skind', 2]
['rørsukker', 2]
['japansk soya', 2]
['nye kartofler', 2]
['tamari', 2]
['vanille', 2]
['sød chili', 2]
['evt. 1 fed knust hvidløg', 2]
['æble', 2]
['ingefær, finthakket', 2]
['løg, hakkede', 2]
['hakkede hasselnødder', 2]
['æble, i små terninger', 2]
['revet frisk ingefær', 2]
['merian tørret', 2]
['kaviar', 2]
['lidt citronsaft', 2]
['peberrod, revet', 2]
['butterdej, plade', 2]
['mørk chokolade 86%', 2]
['mandler, smuttede', 2]
['finthakket chili', 2]
['salvieblade', 2]
['små kartofler', 2]
['frisk rød chili', 2]
['creme', 2]
['sildefileter', 2]
['iceberg, salat', 2]
['finthakket frisk ingefær', 2]
['tomatsauce', 2]
['friskhakket estragon', 2]
['hakket skinkekød', 2]
['kalvelever', 2]
['creme fraiche 18 %', 2]
['purløg, frisk', 2]
['madæble', 2]
['kørvel', 2]
['en anelse sukker', 2]
['marinerede sildefileter', 2]
['frisk kværnet peber', 2]
['soltørrede tomater', 2]
['ymer', 2]
['toastbrød', 2]
['sherryeddike', 2]
['skal af 1 citron', 2]
['torskefilet uden skind', 2]
['laksefilet uden skind', 2]
['magert svinekød', 2]
['svinekam', 2]
['svinekam uden spæk', 2]
['svinehjerter', 2]
['aspargessnitter. konserves', 2]
['snaps', 2]
['syltet agurk', 2]
['bayerske pølser', 2]
['stort løg', 2]
['oksesteg', 2]
['oksemørbrad', 2]
['blomkålshoved', 2]
['stødt muskatnød', 2]
['oksefilet', 2]
['oksebryst', 2]
['grønne peber', 2]
['oksekød. inderlår uden kappe. rå', 2]
['lammeryg', 2]
['kalveklump', 2]
['hvidløgssalt', 2]
['hakket timian', 2]
['kalvekølle', 2]
['kalvekoteletter', 2]
['kalvehjerter', 2]
['madeira', 2]
['kalvebov uden ben', 2]
['rød peber', 2]
['revet kinaradise', 2]
['japansk sojasauce', 2]
['sake', 2]
['reven appelsinskal', 2]
['saft af 1 citron', 2]
['helbladet spinat, dybfrost', 2]
['oliven. sorte. uden sten. i saltlage', 2]
['reven parmesan', 2]
['friskhakket basilikum', 2]
['gorgonzola', 2]
['savoykål', 2]
['tørret basilikum', 2]
['feta i tern', 2]
['hakkede flåede tomater', 2]
['revet gulerod', 2]
['lidt stødt muskatnød', 2]
['olie til kogning', 2]
['tomatkoncentrat', 2]
['helbladet spinat', 2]
['revet ost', 2]
['timian, tørret', 2]
['friske lasagneplader', 2]
['frossen spinat', 2]
['lasagneplader, friske', 2]
['herbes de provence, tørret', 2]
['parmesan ost', 2]
['kogelage', 2]
['saften af 2 appelsiner', 2]
['saften af 6 appelsiner', 2]
['peper', 2]
['skrog fra ænderne', 2]
['husblas, blade', 2]
['vand eller suppe', 2]
['basilikumblade', 2]
['pillede hvidløg', 2]
['stødt nelliker', 2]
['salvie, tørret', 2]
['frisk estragon', 2]
['spidskål', 2]
['gulerødder i små tern', 2]
['tomat til pynt', 2]
['velmodne tomater', 2]
['finthakket frisk mynte', 2]
['rensdyrkølle', 2]
['friskkværnet hvid peber', 2]
['champignon i skiver', 2]
['porre i skiver', 2]
['zucchini', 2]
['sky', 2]
['tørret salvie', 2]
['rosenkål', 2]
['æblemost', 2]
['brun kalvefond', 2]
['edelsüss paprika', 2]
['mellemstore løg', 2]
['danskvand', 2]
['lidt fløde', 2]
['reven muskatnød', 2]
['revne løg', 2]
['hakket kalvekød', 2]
['bacon i skiver', 2]
['æg, sammenpiskede', 2]
['løg skåret i tynde skiver', 2]
['svinemørbrad', 2]
['kulørt', 2]
['hakket hjortekød', 2]
['feta', 2]
['tre stilke timian', 2]
['gulerod, groft snittet', 2]
['toppen af to porrer', 2]
['tranebær', 2]
['pære', 2]
['kryddereddike', 2]
['hakkede nødder', 2]
['rødkål', 2]
['aspargeskartofler', 2]
['artiskokker', 2]
['lammehjerner', 2]
['knuste enebær', 2]
['unge vildænder', 2]
['syrnet fløde', 2]
['tyttebær', 2]
['spæk røget', 2]
['citron revet skal heraf', 2]
['brødkrumme', 2]
['friske spinatblade', 2]
['fiskefond', 2]
['sukat', 2]
['flået tomat', 2]
['frisk brødkrumme', 2]
['friske blåmuslinger', 2]
['nykogte kartofler', 2]
['sort peber fra kværn', 2]
['god dijonsennep', 2]
['hvidløg, finthakket', 2]
['lys kalvebouillon', 2]
['agurkesalat', 2]
['ylette', 2]
['lammekød, hakket', 2]
['knuste fed hvidløg', 2]
['reven citronskal', 2]
['avocado', 2]
['babyspinat, frisk', 2]
['evt. kulør', 2]
['baked beans', 1]
['kapenta', 1]
['gremolata', 1]
['gulerødder, som gøres i stand', 1]
['rødløg, som pilles og hakkes fint', 1]
['selleriknold', 1]
['kalveskanke, afskåret i begge ender', 1]
['stærk krydret tomatsovs', 1]
['rosiner blødt op i vand', 1]
['hakket, krydret lammekød', 1]
['kødfulde tomater', 1]
['pølse til 4 personer', 1]
['én smule smør', 1]
['fiskebouillon opløst i 1 dl varmt vand', 1]
['fisk, knurhane, slethvar eller havkat', 1]
['frisk tun a 150 g.', 1]
['peanuts', 1]
['kalkun bacon i tynde skriver', 1]
['chilisauce efter smag', 1]
['lidt olienolie eller smør til bruning', 1]
['kyllingkød', 1]
['cola', 1]
['knap færdigkogt ris', 1]
['hakket moden mango', 1]
['rød chili', 1]
['hakket peberfrugt', 1]
['god mayonise', 1]
['tacosauce', 1]
['rød og grøn chili', 1]
['rød og grøn peberfrug', 1]
['pitabrød', 1]
['lidt rød peber', 1]
['citroner saften heraf', 1]
['udblødte kikærter', 1]
['ris som tilbehør', 1]
['salt efter smag', 1]
['ingefærsaft', 1]
['forårsløg, stilke', 1]
['kalkunbryst', 1]
['vand eller olie til at stege i', 1]
['mannagryn', 1]
['frisk persille', 1]
['tørret basilikum el.', 1]
['baked beans i tomatsovs', 1]
['zittauerløg', 1]
['paraboiled ris', 1]
['appelsinbåde', 1]
['fint hakkede hvidløg', 1]
['stykke hel kanel', 1]
['kardemommefrugter', 1]
['løg, fint hakket', 1]
['røde eller grønne chilifrugter', 1]
['salt eller efter smag', 1]
['kylling, 1 stk.', 1]
['havregryn, finvalsede', 1]
['koncentreret tomapuré', 1]
['friske tomater', 1]
['friske ingefær', 1]
['røde chili i skiver', 1]
['blendet svinekød', 1]
['tørrede skovøresvampe', 1]
['cellofannudler', 1]
['finthakkede jordnødder', 1]
['tamarindsaft', 1]
['gul bønnesauce', 1]
['maizena, udrørt i lidt vand', 1]
['rød chili i tern', 1]
['grøn peberfrugt i tern', 1]
['skalotteløg i skiver', 1]
['hønsebouillon eller kokossaft', 1]
['finthakkede flåede tomater uden kerner', 1]
['lime i både', 1]
['finthakket, mellemstor rød chili', 1]
['udkernet, finthakket rød chili', 1]
['riseddike', 1]
['vand eller frisk kokossaft', 1]
['hakket ananas', 1]
['gæret ansjossauce eller ansjospasta', 1]
['purløg i 4 cm lange stykker', 1]
['udkernede, små røde chili i skiver', 1]
['cayote eller grøn papaya i tynde skiver', 1]
['gulerod i tynde skiver', 1]
['kinaradise i tynde skiver', 1]
['sennepskål', 1]
['ananas i tern', 1]
['revet gulerødder', 1]
['fintskåret kinaradis', 1]
['fintskåret gulerod', 1]
['knust ingefærrod', 1]
['hvidkål i tern', 1]
['udvandede, salte sildefileter', 1]
['hele, syltede rødbeder', 1]
['firkanter mørk chokolade', 1]
['bær eller frugt i skiver', 1]
['revet marcipan', 1]
['hakkede mandler', 1]
['hakkede pistacier', 1]
['porre, i skiver', 1]
['squash i tern', 1]
['grøn pikantost', 1]
['æble i tern', 1]
['timian efter smag', 1]
['finthakkede skalotteløg', 1]
['evt. lidt høvlet trøffel', 1]
['blandede vilde, dyrkede og udblødte svampe', 1]
['tørrede bønner til "bagefyld', 1]
['hønsekød, kogt', 1]
['champignon i kvarte', 1]
['kogt kold hamburgerryg i mindre stykker', 1]
['kantareller, friske', 1]
['rigelig hakket mynte', 1]
['modne tomater eller den dobbelte mængde cherrytomater', 1]
['oksesuppe', 1]
['citronskal fra en halv citron', 1]
['flute i skiver', 1]
['bredbladet persille til pynt', 1]
['god rødvinseddike', 1]
['kalvelunge', 1]
['mild ost', 1]
['fintrevet daggammelt brød minus skorpe', 1]
['flåede tomater på dåse eller flåede friske tomater', 1]
['kanel, hel', 1]
['hvidløg, hakkede', 1]
['røget mørbrad', 1]
['fond', 1]
['græskar', 1]
['vilde ris', 1]
['julesalat', 1]
['hakket, bredbladet persille', 1]
['wokgrønsager hawaii', 1]
['plankebøf, 200 g', 1]
['kartoffel', 1]
['oksebøf', 1]
['eller 1 bakke suppeurter', 1]
['magert oksebryst', 1]
['evt. en lille smule kokosmælk', 1]
['makreller, helst så små som muligt', 1]
['mørk soyasauce', 1]
['kyllingelårfileter', 1]
['vindruekerneolie til stegning', 1]
['rød peberfrugt i tynde strimler', 1]
['forårsløg i 8 cm lange, tynde strimler', 1]
['sammenpiskede æg str. l', 1]
['pizzamel', 1]
['hørfrø', 1]
['solsikkekerner', 1]
['fingervarmt vand', 1]
['pastakrydderi', 1]
['pastaskruer', 1]
['snittet hvidkål', 1]
['hvidløgsalt', 1]
['hakket kogt kartoffel', 1]
['hakket kalvelever', 1]
['paprika til pynt på tallerknerne', 1]
['creole seasoning eller mere', 1]
['kyllingefond, gerne hjemmelavet', 1]
['pænt store squash i skiver, gerne gule', 1]
['gulerødder, i skiver', 1]
['kartofler, i skiver', 1]
['pakke smør', 1]
['forårsløg til garnering', 1]
['tennesee sunshine hot pepper sauce', 1]
['creole seasoning', 1]
['limesaft, evt. citronsaft', 1]
['hakket jalapenopeber', 1]
['moden tomat i tern', 1]
['tørrede chili', 1]
['tony chacheres crab boil', 1]
['støt koriander', 1]
['saften af 2 lime', 1]
['lidt reven citronskal og citronsaft', 1]
['tomat puré', 1]
['mayonnasie', 1]
['røde og grønne cocktailbær', 1]
['grofthakkede valnøddekerner', 1]
['purløg el.karse', 1]
['parmesanost', 1]
['fransbrød', 1]
['røde linser', 1]
['glatbladet persille', 1]
['kæmperejer', 1]
['olie el. smør til stegning', 1]
['poulard, 1 stk', 1]
['mynte, frisk', 1]
['olie til friturestegning', 1]
['æg, delt i blomme og hvide', 1]
['løg, revet', 1]
['smør, smeltet', 1]
['kraftig hønsebouillon', 1]
['løg, skåret i tynde skiver', 1]
['kartofler, skåret i tykke skiver', 1]
['stykker kylling', 1]
['stængler blegselleri', 1]
['salt og peber', 1]
['forårsløg, finthakket', 1]
['røget kuller', 1]
['porrer, skivede', 1]
['kylling, 1 stk', 1]
['friske eller frosne spinatblade', 1]
['god bouillon', 1]
['blandede grøntsager f.eks. gulerødder, ærter og blomkål', 1]
['friske sommerløg', 1]
['sukkerærter eller bønner', 1]
['tomater til pynt', 1]
['klippet  dild', 1]
['ærter eller bønner', 1]
['blomkålshoved i små buketter', 1]
['porrer i tynde ringe', 1]
['mellemstore gulerødder', 1]
['kogt skinke eller tunge evt. svinetuner fra dåse', 1]
['sommerløg', 1]
['tomatchillisovs', 1]
['salatstrimler', 1]
['hakket grønt, dild purløg eller persille', 1]
['kogte kolde kartofler i skiver', 1]
['syltede agurker i terninger', 1]
['velrensede kryddersildefileter', 1]
['hakket alm. løg', 1]
['evt. 1 spskf. cognac', 1]
['spaghetti den runde eller båndspaghetti kogt i vand med olie og salt', 1]
['italiensk toamtpure', 1]
['olie eller smør', 1]
['lidt frisk eller tørret estragon', 1]
['tomater, letknuste', 1]
['ansjosfileter', 1]
['evt. lidt safran', 1]
['væden fra muslingerne', 1]
['fiskebouillonterninger', 1]
['stykke agurk', 1]
['rødspætte eller toskefilet', 1]
['tør hvidvin, ikke sød', 1]
['havkatfilet uden skind', 1]
['rødfiskefilet uden skind', 1]
['rå jomfruhummere, hele eller evt. som haler', 1]
['lidt safran eller gurkemeje', 1]
['fennikelfrø hele', 1]
['tomater eller 10 friske', 1]
['fennikel frisk', 1]
