['salt', 896]
['stødt allehånde', 4]
['stødt gurkemeje', 4]
['grønne bønner, friske', 4]
['små nye kartofler', 4]
['spinat', 4]
['madæble', 4]
['chili peber', 4]
['lidt citronsaft', 4]
['spæk', 4]
['rabarber', 4]
['løse ris', 4]
['tomatketchup', 4]
['blomkålshoved', 4]
['torskefilet', 4]
['evt. kulør', 4]
['chilipulver', 4]
['jævning', 4]
['hakkede skalotteløg', 4]
['citron saften heraf', 4]
['persillerødder', 4]
['fed hvidløg', 4]
['mellemstore gulerødder', 4]
['strudsekød', 4]
['hakket strudsekød', 4]
['strudse steaks', 4]
['kalvebouillon', 4]
['lidt olie', 4]
['æbler, madæbler', 4]
['citron, skal heraf', 4]
['kanel, stødt', 4]
['mandler, smuttede', 4]
['butterdej', 4]
['stødt kardemomme', 4]
['kartoffelmel', 4]
['lammemørbrad', 4]
['løg i skiver', 4]
['usaltet smør', 4]
['champignons', 4]
['hakket dild', 4]
['mandler', 4]
['kanelstang', 4]
['rød chilipeber', 4]
['knuste enebær', 4]
['fiskefond', 4]
['ingefær, frisk', 4]
['gurkemeje, stødt', 4]
['øl', 4]
['svampe', 4]
['parboiled ris', 4]
['kørvel', 4]
['klippet purløg', 4]
['esdragon', 4]
['friskreven ingefær', 4]
['rucola', 4]
['meljævning', 4]
['lammehals', 4]
['kinakål', 4]
['kogte kolde kartofler', 4]
['revet ost, mozzarella 45+', 4]
['stødt nellike', 4]
['hvidvin eller bouillon', 4]
['små løg', 4]
['courgetter', 4]
['lammebov uden ben', 4]
['tørret merian', 4]
['udbenet lammebov', 4]
['marsala', 4]
['skærisingfilet', 3]
['valnødder', 3]
['saucejævner', 3]
['chilisauce', 3]
['snittet bredbladet persille', 3]
['finthakket frisk ingefær', 3]
['selleri i grove stykker', 3]
['finthakket rød chili', 3]
['svinekød', 3]
['gulerod i skiver', 3]
['banan', 3]
['fiskesauce', 3]
['svinekød, hakket ca.  6% fedt', 3]
['kogte kartofler', 3]
['krydderurter', 3]
['a38', 3]
['rødspættefilet', 3]
['revet peberrod', 3]
['madeira', 3]
['finthakket rødløg', 3]
['balsamico eddike', 3]
['hvidkålshoved', 3]
['rucolasalat', 3]
['rejer', 3]
['oksefilet uden fedt', 3]
['pillekartofler', 3]
['frisk dild', 3]
['hele spidskommenfrø', 3]
['strudselever', 3]
['brødkrumme', 3]
['rødløg i strimler', 3]
['knust enebær', 3]
['ghee eller olie', 3]
['kardemomme', 3]
['frisk persille', 3]
['tørret estragon', 3]
['gulerødder i tern', 3]
['frisk kværnet peber', 3]
['frisk salvie', 3]
['østershatte', 3]
['peber fra kværn', 3]
['skært lammekød', 3]
['lidt salt', 3]
['blødt smør', 3]
['grønne bønner', 3]
['savoykål', 3]
['varmt vand', 3]
['hvide bønner', 3]
['sammenpresset, brun farin', 3]
['tørret rosmarin', 3]
['akaciehonning', 3]
['æble', 3]
['persille, hakket', 3]
['modne tomater', 3]
['ribs', 3]
['gorgonzola', 3]
['lammenyrer', 3]
['tyttebær', 3]
['knust koriander', 3]
['blandet salat', 3]
['stødt spidskommen', 3]
['strudsesteaks', 3]
['vand eller bouillon', 3]
['peberfrugt uden kerner', 3]
['tørret esdragon', 3]
['røget spæk', 3]
['svinelever', 3]
['fløde 13 %', 3]
['nelliker, stødt', 3]
['mandler, usmuttede', 3]
['løg, finthakket', 3]
['solsikkeolie', 3]
['træspyd', 3]
['stødt sort peber', 3]
['lidt peber', 3]
['purerede tomater', 3]
['friskhakket oregano', 3]
['lammehals uden ben', 3]
['tamarind', 3]
['savojkål', 3]
['soltørrede tomater i olie', 3]
['auberginer', 3]
['vanille', 3]
['lammebryst uden ben', 3]
['brun kalvefond', 3]
['appelsin', 3]
['koriander. blade. friske', 3]
['mynte', 3]
['rød chili', 3]
['provencekrydderi', 3]
['vindruekerneolie', 3]
['citroner', 3]
['skiver bacon', 3]
['lidt vand', 3]
['citronmelisse', 3]
['gul peberfrugt', 3]
['olie til pensling', 3]
['røde linser', 3]
['hele peberkorn', 3]
['koldt vand', 3]
['reven ost', 3]
['æg til pensling', 3]
['perleløg', 3]
['ymer', 3]
['lyse rosiner', 3]
['sennepspulver', 3]
['hvidløgssalt', 3]
['røde peberfrugter', 3]
['pasta', 3]
['icebergsalat', 3]
['brøndkarse til pynt', 3]
['franskbrød', 3]
['tomatjuice', 3]
['kanelstænger', 3]
['safrantråde', 3]
['citronpeber', 3]
['asparges', 3]
['rugmel', 2]
['mørksejfilet', 2]
['kuller filet', 2]
['hvillingfilet med skind', 2]
['æblesaft el. juice', 2]
['smørklat', 2]
['frisk citronmelisse', 2]
['ananasringe', 2]
['slanke gulerødder', 2]
['små nye, skrubbede kartofler', 2]
['enebær, hele', 2]
['creme fraiche 18 %', 2]
['creme fraiche 38 %', 2]
['frisk rosmarin eller 2 tsk. tørret', 2]
['gule eller røde peberfrugter', 2]
['kumquats', 2]
['tranebær eller ribs', 2]
['stegeskyen', 2]
['tørrede morkler eller morkelbrud', 2]
['svinekam uden ben', 2]
['svesker', 2]
['balsamicoeddike', 2]
['ribsgelé', 2]
['syltede tyttebær', 2]
['syltede rødbeder', 2]
['tilbehør', 2]
['spareribs af svinekød', 2]
['blå druer', 2]
['kalvelever', 2]
['evt. meizena', 2]
['flåede hakkede tomater', 2]
['zitauerløg', 2]
['engelsk sauce', 2]
['grofthakkede valnøddekerner', 2]
['pigeonæbler', 2]
['sambal oelek', 2]
['sukat', 2]
['knap 1 dl mango chutney', 2]
['græsk yoghurt eller syrnet fløde 9%', 2]
['snittet purløg', 2]
['savoykålsblade i strimler', 2]
['blade af 1 kvist timian', 2]
['pigeonæbler i både', 2]
['udstenede svesker i tern', 2]
['bagekartofler i kvarte, fx estima', 2]
['syrligt æble skrællet og i både, fx mutzu', 2]
['fennikel i tern', 2]
['bønnesalat', 2]
['multefilet med skind', 2]
['kartofler i tykke skiver', 2]
['kartofler nye', 2]
['abrikoser – i strimler', 2]
['revet skal af 0.5 appelsin', 2]
['gulerødder i skæve stykker', 2]
['lys vineddike', 2]
['evt. spiselige blomster fx fra krydderurter eller hjulkrone', 2]
['ristede pinjekerner', 2]
['solbær', 2]
['snittede basilikumblade', 2]
['fintsnittet chili', 2]
['fintsnittet rødløg', 2]
['ost', 2]
['rødbede', 2]
['valnøddeolie', 2]
['hakkede valnøddekerner', 2]
['friske små blade af bredbladet persille', 2]
['fennikelknolde skåret i ultratynde skiver', 2]
['skalotteløg i små tern', 2]
['klippet dild', 2]
['salvieblade', 2]
['hvidløg delt i fed', 2]
['hakket oksekød', 2]
['cocktailpølser', 2]
['svinekam', 2]
['revet muskatnød', 2]
['kalv og flæsk. hakket 16%', 2]
['fint hakket skalotteløg', 2]
['grønne asparges', 2]
['rønnebærgelé', 2]
['chorizopølse', 2]
['kaninlever', 2]
['hele sennepskorn', 2]
['kommen', 2]
['hakket kalvekød', 2]
['karse. frisk', 2]
['løg, fintrevet', 2]
['saft af 1 citron', 2]
['citronskiver', 2]
['sildefileter', 2]
['herbes de provence, tørret', 2]
['jasminris', 2]
['oksespidsbryst', 2]
['purløg, frisk', 2]
['skinke. røget. kogt', 2]
['hvidløgsdressing', 2]
['sort peber fra kværn', 2]
['friskkværnet, sort peber', 2]
['hakket, frisk koriander', 2]
['østerssauce', 2]
['jordnødder', 2]
['citron, saften', 2]
['danskvand', 2]
['havregryn, finvalsede', 2]
['ketchup', 2]
['hakket oksefars', 2]
['sambal orlek', 2]
['estragon, frisk', 2]
['brød', 2]
['provence krydderi', 2]
['persille, gerne bredbladet', 2]
['hakket spinat', 2]
['tørrede kinesiske svampe', 2]
['grillspyd', 2]
['sød chilli', 2]
['peberfrugt i store tern', 2]
['rugbrød. mørkt', 2]
['evt. salt', 2]
['hvide peberkorn', 2]
['revet ingefær', 2]
['hel kanel', 2]
['grøn chili', 2]
['middelstore løg', 2]
['grønne kardemomme', 2]
['frisk ingefærrod', 2]
['olie og smør til stegning', 2]
['kanel. stang', 2]
['frisk merian', 2]
['chalotteløg', 2]
['frisk estragon', 2]
['jordnøddeolie', 2]
['extra jomfruolivenolie', 2]
['frisk gedeost', 2]
['hånd fuld basilikum', 2]
['frisk spinatpasta', 2]
['timian, tørret eller frisk', 2]
['rosmarin, tørret eller frisk', 2]
['stor spsk sennepspulver', 2]
['fedtstof til stegning', 2]
['dhansak masala', 2]
['hele tørrede røde chili', 2]
['stødt korianderfrø', 2]
['barbecuesauce', 2]
['hel sort peber', 2]
['porretop', 2]
['benene fra lammeryggen', 2]
['eller grøn squash', 2]
['frisk kørvel', 2]
['koldpresset jomfruolivenolie', 2]
['hakket oregano', 2]
['peberfrugt i skiver', 2]
['peberfrugt i strimler', 2]
['merian tørret', 2]
['finthakkede løg', 2]
['evt. maizenamel', 2]
['peberfrugt i tern', 2]
['i skiver', 2]
['tomater i både', 2]
['hakkede sorte oliven', 2]
['ekstra jomfru olivenolie', 2]
['skallen af en appelsin', 2]
['juice', 2]
['halvmoden mango', 2]
['hakket brøndkarse', 2]
['frisk reven peberrod', 2]
['evt. lidt olivenolie', 2]
['brune champignon', 2]
['melede kartofler', 2]
['forårsløg i tynde ringe', 2]
['evt. piskefløde', 2]
['grønærter', 2]
['friske krydderurter', 2]
['benfri lammekød', 2]
['pulveriseret spidskommen', 2]
['evt. hvidløg', 2]
['friskrevet ingefær', 2]
['blomkål', 2]
['hele æg', 2]
['herbes de provence', 2]
['lammefilet', 2]
['æggeblomme, pasteuriseret', 2]
['små sorte oliven', 2]
['store løg', 2]
['god olivenolie', 2]
['reven skal af 1 citron', 2]
['paprika, edelsuss', 2]
['mælk eller fløde', 2]
['fine ærter', 2]
['magert brystflæsk', 2]
['lidt engelsk sovs', 2]
['fintsnittet purløg', 2]
['hakket karse eller 1 spsk. friskhakket mynte', 2]
['blødgjort smør', 2]
['magert lammekød', 2]
['basmatiris', 2]
['løg i tynde skiver', 2]
['udkernede, røde chili', 2]
['stegt lammekød', 2]
['lammesteaks', 2]
['rodselleri', 2]
['citron reven skal heraf', 2]
['reven peberrod', 2]
['kartofler i skiver', 2]
['jomfru olivenolie', 2]
['pastapenne', 2]
['lammeculotter', 2]
['rødbeder, syltede', 2]
['stødt timian', 2]
['asparges ca. 275 g', 2]
['sennepsfrø', 2]
['oliven', 2]
['fond', 2]
['sammenpisket æg', 2]
['hovedsalat', 2]
['soja', 2]
['couscous', 2]
['flødeskum', 2]
['saften af 1 citron', 2]
['skalotteløg, finthakket', 2]
['hvidløg, presset', 2]
['mellemstort løg', 2]
['squash i skiver', 2]
['lammefond', 2]
['eller 0.5 pt basilikum', 2]
['røde æbler', 2]
['grand manier', 2]
['god hønsebouillon', 2]
['parmesanost', 2]
['soltørrede tomater', 2]
['knust sort peber', 2]
['courgette', 2]
['brøndkarse', 2]
['kaffefløde', 2]
['stængler blegselleri', 2]
['revet ost', 2]
['danablu', 2]
['finthakket skalotteløg', 2]
['babymajs', 2]
['strudsekød i strimler', 2]
['enebær, ribsgelé eller tyttebær', 2]
['strudsesteg', 2]
['olie til bruning', 2]
['gulerødder i små tern', 2]
['teriyakisauce', 2]
['strudsebøffer eller steaks', 2]
['strudsekølle i strimler', 2]
['chili, stødt', 2]
['kokosmælk, stor dåse', 2]
['fennikel, knold', 2]
['hvidvin. medium', 2]
['mangochutney, stærk', 2]
['hårdkogte æg', 2]
['fiskesennep', 2]
['lyssejfilet', 2]
['fedt', 2]
['svinehjerter', 2]
['grødris', 2]
['æbler, syrlige', 2]
['flødeost naturel', 2]
['svinekam med svær. rå', 2]
['hvidløg, finthakket', 2]
['kartofler i tern', 2]
['løg i tykke skiver', 2]
['citron, skal og saft heraf', 2]
['hvidløg, pressede', 2]
['fintsnittet persille', 2]
['lammebov i tern', 2]
['lammekød uden ben', 2]
['olie til sautering', 2]
['hasselnøddeflager', 2]
['florsukker', 2]
['finthakkede skalotteløg', 2]
['stykke frisk ingefær', 2]
['', 2]
['hvidløg, hakket', 2]
['hønsefond', 2]
['kyllingelever', 2]
['friske blåmuslinger', 2]
['spidskommen, stødt', 2]
['chili stærk, stødt', 2]
['langkornede ris', 2]
['koncentreret tomatpuré', 2]
['syrligt æble', 2]
['stilke bladselleri', 2]
['safran tråde', 2]
['peberkorn, hvide', 2]
['fintklippet dild', 2]
['små gulerødder', 2]
['grønne chili', 2]
['vermouth', 2]
['hakket frisk basilikum', 2]
['citronbåde', 2]
['hakket bredbladet persille', 2]
['madbrød', 2]
['majsstivelse til jævning', 2]
['oliven. sorte. uden sten. i saltlage', 2]
['siet marinade', 2]
['sky', 2]
['lammekølle uden ben', 2]
['porter', 2]
['chilipeber', 2]
['peber. hvid', 2]
['tomat til pynt', 2]
['hakket frisk mynte', 2]
['bulgur', 2]
['mørk chokolade', 2]
['nellike', 2]
['frisk mynte', 2]
['hakkede tomater', 2]
['oksekød, hakket ca. 10% fedt', 2]
['rosmarin, tørret', 2]
['stilke blegselleri', 2]
['løg finthakket', 2]
['suppevand', 2]
['modne tomater, hakkede', 2]
['stribet flæsk', 2]
['nymalet sort peber', 2]
['reven parmesanost', 2]
['frossen hel spinat', 2]
['fyld', 2]
['udbenet lammebryst', 2]
['groft peber', 2]
['friske brødkrummer', 2]
['finthakket rosmarin', 2]
['kvist rosmarin', 2]
['smørbolle', 2]
['siet lammesuppe', 2]
['fransk visk', 2]
['langkornet ris', 2]
['mild paprika', 2]
['kvist timian', 2]
['stilke timian', 2]
['groftrevet løg', 2]
['gule sennepskorn', 2]
['hakket lamme eller fårefars', 2]
['lammebov, udbenet', 2]
['grønne ærter. dybfrost', 2]
['kogevand', 2]
['allehånde, stødt', 2]
['rødkål', 2]
['agurkesalat', 2]
['icebergsalat, strimler', 1]
['hønsebouillon, terning', 1]
['rød chili, flækket og skåret i små strimler', 1]
['grøn peberfrugt i strimler', 1]
['blegselleri, i strimler', 1]
['gulerødder i strimler', 1]
['kalkunbryst i strimler', 1]
['kraftig rødvin', 1]
['hare, delt i 4', 1]
['vildtbouillon eller kalvebouillon', 1]
['grofthakkede friske hasselnødder', 1]
['grofthakkede kantareller', 1]
['dyretyksteg', 1]
['rønnebærgelé eller ribsgele', 1]
['ung edderfugl', 1]
['champignon, i mindre stykker', 1]
['rabarber, i mindre stykker', 1]
['spinat, plukket', 1]
['langefilet', 1]
['hvidvin tør', 1]
['kulmule', 1]
['finthakket, skrællet, frisk ingefærrod', 1]
['hakket tomat', 1]
['vegetabilsk olie til stegning', 1]
['riseddike', 1]
['ingefærrod', 1]
['savoykålblade', 1]
['bars', 1]
['lidt revet muskatnød', 1]
['pastinak, mellemstørrelse', 1]
['udstenede sorte olive', 1]
['olivenolie til bagning', 1]
['geddefilet', 1]
['soyasovs', 1]
['østershatte, kantareller eller andre svampe', 1]
['havkattefilet', 1]
['grønne bønner. dybfrost', 1]
['blandede hakkede krydderurter, f.eks dild, purløg, estragon, citronmelisse og persille', 1]
['nye rødløg', 1]
['citron.', 1]
['knurhaner', 1]
['ris kogt med soya og champignon', 1]
['ristede tomater', 1]
['a38 eller syrnet fløde 9%', 1]
['væde fra dampningen', 1]
['hellefisk', 1]
['filet af lyssej eller mørksej eller torsk', 1]
['grov sennep', 1]
['piri piri, tørret', 1]
['helleflynderfilet med skind', 1]
['fileter af fjæsing', 1]
['isingfilet', 1]
['fed cremefraiche', 1]
['klipfisk eller saltfisk', 1]
['røget spæk i tern', 1]
['sandart', 1]
['nye ærter', 1]
['blandede urter, f.eks. sommerløg og gulerod', 1]
['skovsyre eller havesyre', 1]
['slethvar', 1]
['pighvarfilet', 1]
['kogte foreller', 1]
['rødfiskefilet', 1]
['sesamchips', 1]
['rød chili i tynde skiver', 1]
['grofthakkede jordnødder', 1]
['glasål', 1]
['stødt fem krydderi', 1]
['finthakket svampe', 1]
['finthakket citrongræs', 1]
['toastbrød', 1]
['ål', 1]
['skorzonerødder', 1]
['parmaskinke', 1]
['skrubbefilet', 1]
['hele flåede rødspætter og fileter', 1]
['pernod', 1]
['havaborre', 1]
['multebær', 1]
['skovsyre', 1]
['hele multebær', 1]
['aborrefileter uden skind og ben', 1]
['sorte svampe i tynde skiver', 1]
['røde chili i tynde skiver', 1]
['citrongræs i tynde skiver', 1]
['fintreven ingefærrod', 1]
['aborre a 1500 g. ridset på begge sider', 1]
['løvstikke', 1]
['udbenede hornfisk', 1]
['husblas, blade', 1]
['hornfiskefiletter', 1]
['havtaskehale', 1]
['kullerfilet uden skind', 1]
['orange pebergrugt', 1]
['mango', 1]
['smørfisk', 1]
['bage kartofler', 1]
['skinke', 1]
['rødtungefilet uden skind', 1]
['grønne bønner friske', 1]
['rødfiskefilet med skind', 1]
['kullerfilet med skind', 1]
['ris, langkornede', 1]
['skinkehamburgryg', 1]
['kogte naturris', 1]
['knoldselleri skåret i små tern', 1]
['gulerod, skåret i tern', 1]
['porre, fintsnittet porre', 1]
['løg, hakkede', 1]
['skiver hamburgerryg', 1]
['blancheret hakket spinat fra sønderjydsk kål', 1]
['blomkålsvand', 1]
['mornaysauce', 1]
['dild, grofthakket', 1]
['blomkål i buketter', 1]
['mild ost', 1]
['tynde skiver kogt hamburgerryg', 1]
['tarteletter', 1]
['porre i skiver', 1]
['champignon i kvarte', 1]
['kogt kold hamburgerryg i mindre stykker', 1]
['porre i strimler, godt skyllet', 1]
['rød peberfrugt i små tern', 1]
['hamburgerryg, rå', 1]
['tynde spækstrimler', 1]
['nelliker stukket i et løg', 1]
['frosne butterdejsplader', 1]
['ost i skiver', 1]
['klippet karse efter smag', 1]
['flydende bouillon', 1]
['dåse ananas', 1]
['ananassaft', 1]
['halve skiver ananas', 1]
['syrlige æbler, f.eks. belle de booskop', 1]
['god bouillon', 1]
['blandede vintergrønsager, f.eks. porre, løg, persillerod, pastinak, knoldselleri, kålrabi, rosmarin, laurbærblad, timian', 1]
['skinkesteg ridset i sværen', 1]
['sød, hvid portvin', 1]
['lime', 1]
['knækkede hvedekerner', 1]
['tabouleh', 1]
['saute', 1]
['bomuldsgarn', 1]
['bovklump uden svær og ben', 1]
['grøntsager, f.eks. persillerod, majroer, rødløg og forårsløg', 1]
['svineskank i 2 cm tykke skiver', 1]
['rugbrød', 1]
['røde æbler, 300 g', 1]
['squash, 500 g', 1]
['tomatpure koncentreret', 1]
['salt efter smag', 1]
['spinatblade', 1]
['worcestershiresauce', 1]
['svinebryst, kogestykke', 1]
['colmanns sennepspulver', 1]
['porrer i ringe', 1]
['blå castelloost', 1]
['mild sennep', 1]
['skinkeculotte', 1]
['hakket persille og merian', 1]
['lidt tyndtskåren citronskal', 1]
['timian eller 1 tsk. tørret timian', 1]
['aromasennep', 1]
['ananasjuice. konserves', 1]
['karry, madras', 1]
['ananas. konserves', 1]
['tørrede krydderurter, f.eks. rosmarin, oregano, basilikum', 1]
['nogle dråber citronsaft', 1]
['reven muskat', 1]
['tykke nakkekoteleletter', 1]
['hakkede tomater med chili, konserves', 1]
['salatløg', 1]
['nakkekoteletter', 1]
['båndpasta med spinat', 1]
['svinekoteletter med ben', 1]
['olie eller 10 g smør eller margarine til stegning', 1]
['svinefedt', 1]
['tør rødvin', 1]
['bayerske pølser', 1]
['blommer', 1]
['spidskål eller savoykål i kvarte', 1]
['gulerødder i tykke skiver', 1]
['pebermølle', 1]
['dansk æble', 1]
['nakkekam af antonius gris', 1]
['nakkekam uden svær', 1]
['bdt. rosmarin', 1]
['nakkekamskoteletter', 1]
['balsamico eller anden vineddike', 1]
['mørk sød portvin', 1]
['lidt eddike', 1]
['jalapeno chili', 1]
['suppe fra kødet', 1]
['friske grønne asparges', 1]
['friske timianblade', 1]
['grønne vindruer', 1]
['evt. 1 dl portvin', 1]
['reven mild ost', 1]
['taffelsennep', 1]
['pynt', 1]
['tunfisk i olie', 1]
['tynde skiver stegt eller kogt svinekam', 1]
['evt. sukker', 1]
['kogt hakket hvidkål', 1]
['kogt hakket grønkål', 1]
['nakkefilet uden svær 3 mm fedt', 1]
['frankfurterpølser', 1]
['nakkefilet eller 1 svineskank', 1]
['letkogte grøntsager', 1]
['tørret pasta', 1]
['kogte rødbeder', 1]
['fransk sennep', 1]
['krydderbuket af persille', 1]
['miniløg', 1]
['champignon, bønner el. andet', 1]
['tørret provencekrydderi', 1]
['friskost naturel 6%', 1]
['bouillon eller afskummet sky fra steg', 1]
['tørret pasta fx tagliatelle', 1]
['tynde grønne bønner', 1]
['chili efter smag', 1]
['frisk rosmarin eller 4 tsk. tørret', 1]
['lidt saucejævner', 1]
['reven muskatnød', 1]
['finthakkede radiser samt', 1]
['grønne bønner drysset med', 1]
['tørret basilikum eller 1 spsk. frisk', 1]
['dressing efter valg', 1]
['tørret timian eller herbes de provence', 1]
['vineddike, helst balsamico', 1]
['svinekam uden svær og ben', 1]
